id,name,county,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25440,Terra Nova,,Newfoundland and Labrador,NL,A0C,Town,002D09,48.50250,-54.21444,Division No.  7,709,America/St_Johns
25441,Terra Nova,Cape Breton,Nova Scotia,NS,B1K,Locality,011F15,45.84874,-60.52881,Cape Breton,902,America/Glace_Bay
25442,Terra Nova,Dufferin,Ontario,ON,L9V,Locality,041A01,44.20972,-80.11694,Dufferin,705,America/Toronto
25443,Terrasse-Bellevue,La Haute-Yamaska,Quebec,QC,J2H,Locality,031H07,45.42528,-72.70639,La Haute-Yamaska,450,America/Montreal
25444,Terrasse-Bigras,Deux-Montagnes,Quebec,QC,J0N,Locality,031G08,45.49611,-74.14278,Deux-Montagnes,450,America/Montreal
25445,Terrasse-Campbell,Argenteuil,Quebec,QC,J0V,Locality,031G10,45.64333,-74.74583,Argenteuil,819,America/Montreal
25446,Terrasse-Charbonneau,Longueuil,Quebec,QC,J4H,Locality,031H12,45.53333,-73.50000,Longueuil,450,America/Montreal
25447,Terrasse-de-Luxe,D'Autray,Quebec,QC,J0K,Locality,031I06,46.29944,-73.40000,D'Autray,450,America/Montreal
25448,Terrasse-des-Pins,La Rivière-du-Nord,Quebec,QC,J0R,Locality,031G16,45.86444,-74.06667,La Rivière-du-Nord,450,America/Montreal
25449,Terrasse-Dusseault,Portneuf,Quebec,QC,G3M,Locality,021L12,46.67750,-71.71972,Portneuf,581,America/Montreal
25450,Terrasse-Duvernay,Francheville,Quebec,QC,G8Y,Locality,031I07,46.34333,-72.60472,Francheville,819,America/Montreal
25451,Terrasse-Legault,Argenteuil,Quebec,QC,J0V,Locality,031G10,45.64167,-74.73972,Argenteuil,819,America/Montreal
25452,Terrasse-Préfontaine,La Vallée-du-Richelieu,Quebec,QC,J3G,Locality,031H11,45.60194,-73.24444,La Vallée-du-Richelieu,450,America/Montreal
25453,Terrasse-Raymond,Deux-Montagnes,Quebec,QC,J0N,Locality,031G08,45.48639,-74.12972,Deux-Montagnes,450,America/Montreal
25454,Terrasse-Robillard,Argenteuil,Quebec,QC,J0V,Locality,031G09,45.52694,-74.33167,Argenteuil,819,America/Montreal
25455,Terrasse-Saint-François,Drummond,Quebec,QC,J2A,Locality,031H16,45.84694,-72.38750,Drummond,450,America/Montreal
25456,Terrasse-Samson,Vaudreuil-Soulanges,Quebec,QC,J0P,Locality,031G01,45.20972,-74.31639,Vaudreuil-Soulanges,450,America/Montreal
25457,Terrasse-Vaudreuil,Vaudreuil-Soulanges,Quebec,QC,J7V,Village,031H05,45.39056,-73.98889,Vaudreuil-Soulanges,450,America/Montreal
25458,Terra View Heights,Peterborough,Ontario,ON,K9L,Locality,031D08,44.35389,-78.31556,Peterborough,705,America/Toronto
25459,Terre-à-Fer,Témiscouata,Quebec,QC,G0L,Locality,021N10,47.71806,-68.77778,Témiscouata,581,America/Montreal
25460,Terrebonne,Les Moulins,Quebec,QC,J6W,City,031H12,45.70000,-73.63333,Les Moulins,450,America/Montreal
25461,Terrenceville,,Newfoundland and Labrador,NL,A0E,Town,001M10,47.65996,-54.70693,Division No.  2,709,America/St_Johns
25462,Terre Noire,Inverness,Nova Scotia,NS,B0E,Locality,011K06,46.47670,-61.08219,Inverness,902,America/Halifax
25463,Terres-Rompues,Le Saguenay-et-son-Fjord,Quebec,QC,G7H,Locality,022D06,48.45611,-71.17000,Le Saguenay-et-son-Fjord,581,America/Montreal
25464,Territoire-Coburn,Beauce-Sartigan,Quebec,QC,G0M,Locality,021E16,45.93833,-70.40083,Beauce-Sartigan,581,America/Montreal
25465,Teslin,,Yukon,YT,Y0A,Village,105C02,60.16722,-132.72167,Yukon,250,America/Whitehorse
25466,Teslin Crossing,,Yukon,YT,Y0A,Locality,105E02,61.24180,-134.61653,Yukon,250,America/Whitehorse
25467,Teslin Lake,,Yukon,YT,Y0A,Locality,105C02,60.23306,-132.91389,Yukon,250,America/Whitehorse
25468,Teslin River,,Yukon,YT,Y0A,Locality,105C06,60.48333,-133.30694,Yukon,250,America/Whitehorse
25469,Tessier,,Saskatchewan,SK,S0L,Village,072O14,51.80707,-107.42738,Division No. 12,306,America/Regina
25470,Teston,York,Ontario,ON,L6A,Locality,030M13,43.86944,-79.54056,York,289,America/Toronto
25471,Tetachuk,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093E08,53.26667,-126.06667,Bulkley-Nechako,250,America/Vancouver
25472,Tête-à-la-Baleine,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012J11,50.70278,-59.32306,Minganie – Le Golfe-du-Saint-Laurent,581,America/Blanc-Sablon
25473,Tête-de-l'Île,Pierre-De Saurel,Quebec,QC,J3P,Locality,031I03,46.07167,-73.06556,Pierre-De Saurel,450,America/Montreal
25474,Tête Jaune,Fraser-Fort George,British Columbia,BC,V0J,Locality,083D13,52.97833,-119.50556,Fraser-Fort George,250,America/Vancouver
25475,Tête Jaune Cache,Fraser-Fort George,British Columbia,BC,V0E,Locality,083D14,52.96667,-119.42917,Fraser-Fort George,250,America/Vancouver
25476,Tétreaultville,Montréal,Quebec,QC,H1L,Locality,031H12,45.60306,-73.52528,Montréal,514,America/Montreal
25477,Teulon,,Manitoba,MB,R0C,Town,062I06,50.38583,-97.26111,Division No. 14,204,America/Winnipeg
25478,Teviotdale,Wellington,Ontario,ON,N0G,Locality,040P15,43.84444,-80.75972,Wellington,519,America/Toronto
25479,Tewkesbury,La Jacques-Cartier,Quebec,QC,G3C,Locality,021M03,47.05028,-71.42944,La Jacques-Cartier,581,America/Montreal
25480,Texas,Roussillon,Quebec,QC,J5A,Locality,031H05,45.39917,-73.63306,Roussillon,450,America/Montreal
25481,Thackeray,,Saskatchewan,SK,S0K,Locality,073C10,52.51673,-108.76738,Division No. 13,306,America/Regina
25482,Thaddeus,Kenora,Ontario,ON,P0V,Locality,052K02,50.23128,-92.92509,Kenora,807,America/Winnipeg
25483,Thalberg,,Manitoba,MB,R0E,Locality,062I08,50.37028,-96.48972,Division No. 13,204,America/Winnipeg
25484,Thamesford,Oxford,Ontario,ON,N0M,Locality,040P02,43.05750,-81.00222,Oxford,519,America/Toronto
25485,Thames River Siding,Elgin,Ontario,ON,N0L,Locality,040I14,42.76233,-81.45442,Elgin,519,America/Toronto
25486,Thames Road,Huron,Ontario,ON,N0M,Locality,040P06,43.37028,-81.40972,Huron,519,America/Toronto
25487,Thamesville,Chatham-Kent,Ontario,ON,N0P,Locality,040I12,42.55527,-81.97733,Chatham-Kent,519,America/Toronto
25488,Thaxted,,Saskatchewan,SK,S0E,Locality,073A15,52.96668,-104.60048,Division No. 14,306,America/Regina
25489,The Annex,Toronto,Ontario,ON,M5R,Locality,030M11,43.67222,-79.40028,Toronto,416,America/Toronto
25490,The Back Settlement,Algoma,Ontario,ON,P0P,Locality,041J08,46.25005,-82.34153,Algoma,705,America/Toronto
25491,The Battery,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.54167,-53.20194,Division No.  1,709,America/St_Johns
25492,The Battery,,Newfoundland and Labrador,NL,A1A,Locality,001N10,47.56861,-52.69111,Division No.  1,709,America/St_Johns
25493,The Beaches,,Newfoundland and Labrador,NL,A0K,Locality,012H10,49.57472,-56.82750,Division No.  5,709,America/St_Johns
25494,The Beaches,Toronto,Ontario,ON,M4E,Locality,030M11,43.67361,-79.29556,Toronto,416,America/Toronto
25495,The Block,,Newfoundland and Labrador,NL,A0N,Locality,011O14,47.80111,-59.32722,Division No.  4,709,America/St_Johns
25496,The Bluff,Westmorland,New Brunswick,NB,E4P,Locality,021I02,46.23557,-64.50451,Westmorland,506,America/Moncton
25497,The Boyne,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G03,45.11750,-75.28778,Stormont Dundas and Glengarry,613,America/Toronto
25498,The Broads,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.52000,-53.27750,Division No.  1,709,America/St_Johns
25499,The Bush,Leeds and Grenville,Ontario,ON,K0G,Locality,031C09,44.57286,-76.20656,Leeds and Grenville,613,America/Toronto
25500,The Cache,Timiskaming,Ontario,ON,P0K,Locality,042A05,48.26118,-81.55956,Timiskaming,705,America/Toronto
25501,The Cedars,Kings,New Brunswick,NB,E5N,Locality,021G08,45.47725,-66.07930,Kings,506,America/Moncton
25502,The Corners,,Manitoba,MB,R0M,Locality,062K11,50.59389,-101.38694,Division No. 15,204,America/Winnipeg
25503,The Cottage,Papineau,Quebec,QC,J8L,Locality,031G11,45.73583,-75.31889,Papineau,819,America/Montreal
25504,The Cottages,Haldimand-Norfolk,Ontario,ON,N0E,Locality,040I09,42.59583,-80.31306,Haldimand-Norfolk,519,America/Toronto
25505,The Crutch,Les Jardins-de-Napierville,Quebec,QC,J0L,Locality,031H04,45.11861,-73.56833,Les Jardins-de-Napierville,450,America/Montreal
25506,The Delta,Hamilton,Ontario,ON,L8K,Locality,030M04,43.23833,-79.81917,Hamilton,289,America/Toronto
25507,The Depot,Parry Sound,Ontario,ON,P0H,Locality,041H16,45.99429,-80.10314,Parry Sound,705,America/Toronto
25508,Thedford,Lambton,Ontario,ON,N0M,Locality,040P04,43.16806,-81.84694,Lambton,519,America/Toronto
25509,The District of Lakeland No. 521,,Saskatchewan,SK,S0J,Municipality,073H12,53.64083,-105.90434,Division No. 15,306,America/Regina
25510,The Dock,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.57306,-53.25306,Division No.  1,709,America/St_Johns
25511,The Donovan,Greater Sudbury / Grand Sudbury,Ontario,ON,P3C,Locality,041I06,46.49861,-81.00306,Greater Sudbury / Grand Sudbury,705,America/Toronto
25512,The Droke,,Newfoundland and Labrador,NL,A0E,Locality,001M03,47.06278,-55.17306,Division No.  2,709,America/St_Johns
25513,The Elbow,,Manitoba,MB,R0B,Locality,063I05,54.41083,-97.68111,Division No. 22,204,America/Winnipeg
25514,The Falls,Colchester,Nova Scotia,NS,B0K,Locality,011E11,45.63741,-63.22193,Colchester,902,America/Halifax
25515,The Flats,,Newfoundland and Labrador,NL,A0B,Locality,001K13,46.79694,-53.64361,Division No.  1,709,America/St_Johns
25516,The Fort,Les Jardins-de-Napierville,Quebec,QC,J0L,Locality,031H04,45.04556,-73.68694,Les Jardins-de-Napierville,450,America/Montreal
25517,The Front,,Newfoundland and Labrador,NL,A0A,Locality,001N10,47.63361,-52.94028,Division No.  1,709,America/St_Johns
25518,The Gib,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012P13,51.80917,-57.55472,Minganie – Le Golfe-du-Saint-Laurent,581,America/Montreal
25519,The Glades,Westmorland,New Brunswick,NB,E4J,Locality,021H14,45.94894,-65.07539,Westmorland,506,America/Moncton
25520,The Glebe,Ottawa,Ontario,ON,K1S,Locality,031G05,45.40278,-75.69139,Ottawa,613,America/Toronto
25521,The Glen,Renfrew,Ontario,ON,K0J,Locality,031F10,45.74750,-76.87167,Renfrew,613,America/Toronto
25522,The Golden Mile,Toronto,Ontario,ON,M1L,Locality,030M11,43.72722,-79.28833,Toronto,416,America/Toronto
25523,The Gore,Oxford,Ontario,ON,N0J,Locality,040I15,42.99389,-80.55444,Oxford,519,America/Toronto
25524,The Gore,Middlesex,Ontario,ON,N5W,Locality,040I14,42.98083,-81.16556,Middlesex,519,America/Toronto
25525,The Gorge,Westmorland,New Brunswick,NB,E1G,Locality,021I02,46.15936,-64.88054,Westmorland,506,America/Moncton
25526,The Grange,Peel,Ontario,ON,L7K,Locality,030M13,43.78101,-79.98406,Peel,289,America/Toronto
25527,The Grant,Kings,New Brunswick,NB,E5T,Locality,021H12,45.67088,-65.88870,Kings,506,America/Moncton
25528,The Gravels,,Newfoundland and Labrador,NL,A0N,Locality,012B10,48.55000,-58.73250,Division No.  4,709,America/St_Johns
25529,The Green,,Newfoundland and Labrador,NL,A0A,Locality,001N10,47.64722,-52.95278,Division No.  1,709,America/St_Johns
25530,The Grove,Middlesex,Ontario,ON,N5V,Locality,040P03,43.02861,-81.18778,Middlesex,519,America/Toronto
25531,The Groves,,Newfoundland and Labrador,NL,A0A,Locality,001N02,47.03556,-52.89417,Division No.  1,709,America/St_Johns
25532,The Gully,Northumberland,Ontario,ON,K9A,Locality,031D01,44.00194,-78.06944,Northumberland,289,America/Toronto
25533,The Gully,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012P12,51.56833,-57.72889,Minganie – Le Golfe-du-Saint-Laurent,581,America/Blanc-Sablon
25534,The Halfway,Annapolis,Nova Scotia,NS,B0S,Locality,021A10,44.58717,-64.97880,Annapolis,902,America/Halifax
25535,The Hawk,Shelburne,Nova Scotia,NS,B0W,Locality,020P05,43.41777,-65.62102,Shelburne,902,America/Halifax
25536,The Highlands,,Saskatchewan,SK,S6H,Locality,072I05,50.40003,-105.60058,Division No.  7,306,America/Regina
25537,The Houser,,Newfoundland and Labrador,NL,A0A,Locality,001N07,47.26028,-52.77667,Division No.  1,709,America/St_Johns
25538,The Island,Leeds and Grenville,Ontario,ON,K0E,Locality,031B13,44.85528,-75.57889,Leeds and Grenville,613,America/Toronto
25539,The Junction,Toronto,Ontario,ON,M6P,Locality,030M11,43.66611,-79.46583,Toronto,416,America/Toronto
25540,The Junction,Oxford,Ontario,ON,N0J,Locality,040I15,42.97173,-80.60538,Oxford,519,America/Toronto
25541,The Keys,,Newfoundland and Labrador,NL,A0A,Locality,001N07,47.30417,-52.81278,Division No.  1,709,America/St_Johns
25542,The Kingsway,Toronto,Ontario,ON,M8X,Locality,030M12,43.65111,-79.51222,Toronto,416,America/Toronto
25543,The Ledge,Charlotte,New Brunswick,NB,E3L,Locality,021G03,45.17578,-67.20434,Charlotte,506,America/Moncton
25544,The Light,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012P06,51.37361,-57.19222,Minganie – Le Golfe-du-Saint-Laurent,709,America/Blanc-Sablon
25545,The Lodge,Lunenburg,Nova Scotia,NS,B0J,Locality,021A09,44.55665,-64.03212,Lunenburg,902,America/Halifax
25546,The Lookoff,Kings,Nova Scotia,NS,B0P,Locality,021H01,45.19961,-64.40795,Kings,902,America/Halifax
25547,The Lots,Northumberland,New Brunswick,NB,E9E,Locality,021I12,46.68409,-65.84475,Northumberland,506,America/Moncton
25548,The Maples,,Manitoba,MB,R2P,Locality,062H14,49.95389,-97.17361,Division No. 11,204,America/Winnipeg
25549,The Maples,Dufferin,Ontario,ON,L9W,Locality,040P16,43.88613,-80.16235,Dufferin,705,America/Toronto
25550,The Meadows,Pictou,Nova Scotia,NS,B2H,Locality,011E10,45.59921,-62.65740,Pictou,902,America/Halifax
25551,The Meadows,Essex,Ontario,ON,N0R,Locality,040J03,42.02639,-83.00555,Essex,519,America/Toronto
25552,The Medway,Annapolis,Nova Scotia,NS,B0S,Locality,021A11,44.55382,-65.15981,Annapolis,902,America/Halifax
25553,The Mines,,Newfoundland and Labrador,NL,A0B,Locality,001N12,47.58722,-53.69583,Division No.  1,709,America/St_Johns
25554,The Motion,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.53167,-53.29583,Division No.  1,709,America/St_Johns
25555,The Narrows,,Manitoba,MB,R0C,Locality,062O02,51.08222,-98.77389,Division No. 18,204,America/Winnipeg
25556,The Ninth,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G03,45.15278,-75.26444,Stormont Dundas and Glengarry,613,America/Toronto
25557,The Northside,,Newfoundland and Labrador,NL,A0G,Locality,002C12,48.66944,-53.75806,Division No.  7,709,America/St_Johns
25558,Theodore,,Saskatchewan,SK,S0A,Village,062M07,51.42358,-102.92235,Division No.  9,306,America/Regina
25559,Theodosia Arm,Powell River,British Columbia,BC,V0N,Locality,092K02,50.06667,-124.70000,Powell River,250,America/Vancouver
25560,The Outlet,Prince Edward,Ontario,ON,K0K,Locality,030N14,43.89583,-77.22194,Prince Edward,613,America/Toronto
25561,The Pas,,Manitoba,MB,R9A,Town,063F14,53.82500,-101.25333,Division No. 21,204,America/Winnipeg
25562,The Pas Airport,,Manitoba,MB,R9A,Locality,063F14,53.97611,-101.08500,Division No. 21,204,America/Winnipeg
25563,The Pines,Lennox and Addington,Ontario,ON,K0H,Locality,031C03,44.11817,-77.00719,Lennox and Addington,613,America/Toronto
25564,The Points West Bay,Richmond,Nova Scotia,NS,B0E,Locality,011F15,45.74906,-60.98595,Richmond,902,America/Halifax
25565,The P Patch,Algoma,Ontario,ON,P6B,Locality,041K09,46.52667,-84.30194,Algoma,705,America/Toronto
25566,The Range,Queens,New Brunswick,NB,E4A,Locality,021I04,46.06634,-65.90095,Queens,506,America/Moncton
25567,Theresa,Thunder Bay,Ontario,ON,P0T,Locality,042E10,49.69872,-86.52006,Thunder Bay,705,America/Toronto
25568,Thériault,Gloucester,New Brunswick,NB,E1W,Locality,021P11,47.73074,-65.05742,Gloucester,506,America/Moncton
25569,The Ridge,Queens,New Brunswick,NB,E4A,Locality,021I04,46.16842,-65.82368,Queens,506,America/Moncton
25570,The Ridge,Hastings,Ontario,ON,K0L,Locality,031C13,44.79845,-77.82375,Hastings,613,America/Toronto
25571,Therien,,Alberta,AB,T0A,Locality,073L03,54.23333,-111.26667,Division No. 12,587,America/Edmonton
25572,The Rock,,Manitoba,MB,R0E,Locality,062I09,50.57167,-96.23056,Division No.  1,204,America/Winnipeg
25573,The Rollway,Prescott and Russell,Ontario,ON,K0B,Locality,031G11,45.54066,-75.06980,Prescott and Russell,613,America/Toronto
25574,The Sixth,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G03,45.00182,-75.26817,Stormont Dundas and Glengarry,613,America/Toronto
25575,The Slash,Manitoulin,Ontario,ON,P0P,Locality,041H12,45.62401,-81.96117,Manitoulin,705,America/Toronto
25576,Thessalon,Algoma,Ontario,ON,P0R,Town,041J05,46.26083,-83.55306,Algoma,705,America/Toronto
25577,The Tannery,Lanark,Ontario,ON,K0A,Locality,031F01,45.21517,-76.22249,Lanark,613,America/Toronto
25578,Thetford Mines,Les Appalaches,Quebec,QC,G6G,City,021L03,46.10000,-71.30000,Les Appalaches,581,America/Montreal
25579,Thetford-Partie-Sud,Les Appalaches,Quebec,QC,G6G,Locality,021L03,46.11528,-71.26528,Les Appalaches,581,America/Montreal
25580,The Thicket,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.65083,-53.25889,Division No.  1,709,America/St_Johns
25581,The Tickles,,Newfoundland and Labrador,NL,A0B,Locality,001M09,47.51806,-54.07778,Division No.  2,709,America/St_Johns
25582,Thetis Island,Cowichan Valley,British Columbia,BC,V0R,Locality,092B13,48.98333,-123.68333,Cowichan Valley,250,America/Vancouver
25583,The Two Rivers,,Saskatchewan,SK,S0J,Locality,063M14,55.75008,-103.15039,Division No. 18,306,America/Regina
25584,The Willows,Northumberland,New Brunswick,NB,E1V,Locality,021P03,47.11286,-65.27784,Northumberland,506,America/Moncton
25585,Thibaudeau,,Manitoba,MB,R0B,Locality,054E01,57.07389,-94.14472,Division No. 23,204,America/Winnipeg
25586,Thibault,Restigouche,New Brunswick,NB,E8B,Locality,021O11,47.60876,-67.34392,Restigouche,506,America/Moncton
25587,Thibeault Terrace,Nipissing,Ontario,ON,P1B,Locality,031L06,46.33667,-79.47194,Nipissing,705,America/Toronto
25588,Thibeauville,Richmond,Nova Scotia,NS,B0E,Locality,011F10,45.65172,-60.99471,Richmond,902,America/Halifax
25589,Thicket Portage,,Manitoba,MB,R0B,Locality,063P05,55.31806,-97.68694,Division No. 22,204,America/Winnipeg
25590,Third Lake,Halifax,Nova Scotia,NS,B0J,Locality,011D15,44.85155,-62.67416,Halifax,902,America/Halifax
25591,Thistle,Grey,Ontario,ON,N0G,Locality,041A02,44.14639,-80.70417,Grey,519,America/Toronto
25592,Thistle Creek,,Yukon,YT,Y0B,Locality,115O03,63.06989,-139.47873,Yukon,907,America/Whitehorse
25593,Thistletown,Toronto,Ontario,ON,M9V,Locality,030M12,43.73444,-79.55750,Toronto,416,America/Toronto
25594,Thivierge,Bonaventure,Quebec,QC,G0C,Locality,022A03,48.08806,-65.48667,Bonaventure,581,America/Montreal
25595,Thode,,Saskatchewan,SK,S0K,Village,072O16,51.78876,-106.44276,Division No. 11,306,America/Regina
25596,Thomas,Mékinac,Quebec,QC,G0X,Locality,031I16,46.80528,-72.46500,Mékinac,819,America/Montreal
25597,Thomas Brook,Annapolis,Nova Scotia,NS,B0S,Locality,021A12,44.52874,-65.57337,Annapolis,902,America/Halifax
25598,Thomasburg,Hastings,Ontario,ON,K0K,Locality,031C06,44.39183,-77.34774,Hastings,613,America/Toronto
25599,Thomaston Corner,York,New Brunswick,NB,E6K,Locality,021G11,45.65522,-67.13198,York,506,America/Moncton
25600,Thomasville,Shelburne,Nova Scotia,NS,B0W,Locality,020P11,43.56662,-65.45297,Shelburne,902,America/Halifax
25601,Thom Bay,Kitikmeot,Nunavut,NU,X0A,Locality,057F01,70.15000,-92.40000,Kitikmeot,204,America/Cambridge_Bay
25602,Thompson,Thompson-Nicola,British Columbia,BC,V0K,Locality,092I06,50.26667,-121.40000,Thompson-Nicola,250,America/Vancouver
25603,Thompson,Greater Vancouver,British Columbia,BC,V7C,Locality,092G03,49.16667,-123.16667,Greater Vancouver,778,America/Vancouver
25604,Thompson,,Manitoba,MB,R8N,City,063P12,55.74333,-97.85528,Division No. 22,204,America/Winnipeg
25605,Thompson Corner,Kings,New Brunswick,NB,E5P,Locality,021H13,45.82515,-65.68126,Kings,506,America/Moncton
25606,Thompson Hill,Renfrew,Ontario,ON,K7V,Locality,031F07,45.45806,-76.66750,Renfrew,613,America/Toronto
25607,Thompson Junction,,Manitoba,MB,R0B,Locality,063P06,55.45972,-97.39833,Division No. 22,204,America/Winnipeg
25608,Thompson Landing,,Northwest Territories,NT,X0E,Locality,075L15,62.91684,-110.66767,Region 6,867,America/Yellowknife
25609,Thompson Sound,Mount Waddington,British Columbia,BC,V0P,Locality,092L16,50.80000,-126.01667,Mount Waddington,250,America/Vancouver
25610,Thompsonville,Simcoe,Ontario,ON,L9R,Locality,031D04,44.13333,-79.83778,Simcoe,705,America/Toronto
25611,Thomson Station,Cumberland,Nova Scotia,NS,B0M,Locality,011E12,45.68342,-63.79679,Cumberland,902,America/Halifax
25612,Thomstown,Northumberland,Ontario,ON,L0A,Locality,031D01,44.08024,-78.40399,Northumberland,289,America/Toronto
25613,Thorah Beach,York,Ontario,ON,L0E,Locality,031D06,44.35288,-79.19656,York,289,America/Toronto
25614,Thorah Island,Durham,Ontario,ON,L0K,Locality,031D06,44.44320,-79.21552,Durham,289,America/Toronto
25615,Thorburn,Pictou,Nova Scotia,NS,B0K,Locality,011E10,45.56470,-62.54719,Pictou,902,America/Halifax
25616,Thorburn Lake,,Newfoundland and Labrador,NL,A0C,Locality,002D08,48.26750,-54.15750,Division No.  7,709,America/St_Johns
25617,Thorburn Road,,Newfoundland and Labrador,NL,A1M,Locality,001N10,47.58167,-52.83972,Division No.  1,709,America/St_Johns
25618,Thordarson,,Alberta,AB,T0H,Locality,083E14,53.97333,-119.00000,Division No. 18,587,America/Edmonton
25619,Thorel House,Muskoka,Ontario,ON,P0B,Locality,031E04,45.17111,-79.61972,Muskoka,705,America/Toronto
25620,Thorhild,,Alberta,AB,T0A,Hamlet,083I03,54.15889,-113.12528,Division No. 13,587,America/Edmonton
25621,Thor Lake,Sudbury,Ontario,ON,P0M,Locality,041P03,47.14516,-81.30546,Sudbury,705,America/Toronto
25622,Thornbury,Grey,Ontario,ON,N0H,Locality,041A09,44.55972,-80.45500,Grey,519,America/Toronto
25623,Thornby,Pontiac,Quebec,QC,J0X,Locality,031F16,45.78528,-76.48806,Pontiac,819,America/Montreal
25624,Thorncliff,Nipissing,Ontario,ON,P1B,Locality,031L06,46.27528,-79.37250,Nipissing,705,America/Toronto
25625,Thorncliffe,,Alberta,AB,T2K,Locality,082O01,51.10278,-114.06667,Division No.  6,587,America/Edmonton
25626,Thorncliffe,,Alberta,AB,T5T,Locality,083H12,53.51528,-113.62361,Division No. 11,587,America/Edmonton
25627,Thorncliffe,Toronto,Ontario,ON,M4H,Locality,030M11,43.70305,-79.34512,Toronto,416,America/Toronto
25628,Thorncliffe,Chatham-Kent,Ontario,ON,N0P,Locality,040J09,42.55314,-82.12073,Chatham-Kent,519,America/Toronto
25629,Thorncrest Village,Toronto,Ontario,ON,M9A,Locality,030M12,43.66733,-79.53880,Toronto,416,America/Toronto
25630,Thorndale,Middlesex,Ontario,ON,N0M,Locality,040P03,43.10361,-81.14306,Middlesex,519,America/Toronto
25631,Thorndale,Montréal,Quebec,QC,H9H,Locality,031H05,45.47000,-73.85972,Montréal,514,America/Montreal
25632,Thorne,Nipissing,Ontario,ON,P0H,Locality,031L11,46.70083,-79.10250,Nipissing,705,America/Toronto
25633,Thorne,Pontiac,Quebec,QC,J0X,Village,031F16,45.75000,-76.43333,Pontiac,819,America/Montreal
25634,Thorne Centre,Pontiac,Quebec,QC,J0X,Locality,031F09,45.74056,-76.38972,Pontiac,819,America/Montreal
25635,Thorne Lake,Pontiac,Quebec,QC,J0X,Locality,031F09,45.68750,-76.36694,Pontiac,819,America/Montreal
25636,Thornetown,Queens,New Brunswick,NB,E4C,Locality,021H13,45.86124,-65.85350,Queens,506,America/Moncton
25637,Thornhill,Kitimat-Stikine,British Columbia,BC,V8G,Locality,103I10,54.51667,-128.53333,Kitimat-Stikine,250,America/Vancouver
25638,Thornhill,,Manitoba,MB,R6M,Locality,062G01,49.20028,-98.23167,Division No.  3,204,America/Winnipeg
25639,Thornhill,Halifax,Nova Scotia,NS,B3R,Locality,011D12,44.60347,-63.61147,Halifax,902,America/Halifax
25640,Thornhill,York,Ontario,ON,L4J,Locality,030M14,43.81687,-79.42680,York,289,America/Toronto
25641,Thornlea,York,Ontario,ON,L3T,Locality,030M14,43.82528,-79.40306,York,289,America/Toronto
25642,Thornloe,Timiskaming,Ontario,ON,P0J,Village,031M12,47.66784,-79.76177,Timiskaming,705,America/Toronto
25643,Thornton,Simcoe,Ontario,ON,L0L,Locality,031D05,44.27053,-79.72294,Simcoe,705,America/Toronto
25644,Thornton Yard,Greater Vancouver,British Columbia,BC,V3R,Locality,092G02,49.21667,-122.83333,Greater Vancouver,778,America/Vancouver
25645,Thornyhurst,Lambton,Ontario,ON,N0P,Locality,040J09,42.67972,-82.43056,Lambton,519,America/Toronto
25646,Thorold,Niagara,Ontario,ON,L0S,City,030M03,43.07222,-79.22333,Niagara,289,America/Toronto
25647,Thorold Park,Niagara,Ontario,ON,L2V,Locality,030M03,43.11323,-79.20595,Niagara,289,America/Toronto
25648,Thorold South,Niagara,Ontario,ON,L2V,Locality,030M03,43.10159,-79.19540,Niagara,289,America/Toronto
25649,Thoroughfare,,Newfoundland and Labrador,NL,A5A,Locality,002C04,48.19833,-53.54861,Division No.  7,709,America/St_Johns
25650,Thorpe,Lennox and Addington,Ontario,ON,K0H,Locality,031C07,44.30028,-76.77139,Lennox and Addington,613,America/Toronto
25651,Thorsby,,Alberta,AB,T0C,Town,083G01,53.22694,-114.04806,Division No. 11,587,America/Edmonton
25652,Thorton Woods,Durham,Ontario,ON,L1J,Locality,030M15,43.90349,-78.89142,Durham,289,America/Toronto
25653,Thrasher,,Saskatchewan,SK,S0L,Locality,072N08,51.36672,-108.00068,Division No. 12,306,America/Regina
25654,Thrasher's Corners,Hastings,Ontario,ON,K0K,Locality,031C06,44.26956,-77.36494,Hastings,613,America/Toronto
25655,Three Arms,,Newfoundland and Labrador,NL,A0J,Locality,002E12,49.68444,-55.90278,Division No.  8,709,America/St_Johns
25656,Three Bridges,Middlesex,Ontario,ON,N0M,Locality,040P03,43.04173,-81.05483,Middlesex,519,America/Toronto
